domain,category,theme,bg,text,accent,font_1,font_2,hero_px,hero_weight,hero_lh,hero_ls_em,hero_words,hero_align,h2_px,body_px,body_lh,gutter_px,fullbleed_media,video,btn_radius,btn_h,page_screens,hero_text
analogue.co,product,light,#ffffff,#ffffff,,circularXx,,,,,,,,53,,,29,5,0,pill,41,5.3,
apple.com,product,light,#ffffff,#000000,#0071e3,SF Pro Text,SF Pro Display,56,600,1.07,-0.005,3,center,40,12,1.33,230,6,0,pill,44,6.7,iPhone 18 Pro
bang-olufsen.com,product,light,#ffffff,#222222,,BeoSupreme,,,,,,,,24,16,1.63,189,2,1,3,48,1.0,
bose.com,product,light,#f9f9f9,#131317,,Bose Text,Bose Headline,96,900,0.96,0.015,3,center,32,16,1.5,40,1,1,2,48,7.9,Open audio. Reimagined.
bragg.com,product,light,#f8dede,#ffffff,#ffe100,Season Mix-TRIAL,ITC Franklin Gothic Std,,,,,,,24,24,1.1,257,7,1,pill,40,11.6,
braun.com,product,light,#ffffff,#ffffff,#04857f,Braun Linear,BraunLinearRegular,,,,,,,32,16,1.5,80,3,1,5,30,7.3,
byredo.com,product,light,#ffffff,#000000,,byredoSans,,,,,,,,,14,1.43,28,6,1,2,40,1.6,
cowboy.com,product,light,#f5f5f5,#1d1d1d,,SuisseIntl,,100,400,0.9,-0.025,4,left,52,16,1.47,60,27,1,pill,38,20.9,Cowboy Cruiser Riding reinvented
dyson.com,product,light,#ffffff,#555555,#79b928,DysonFutura,,32,300,1.25,0,6,left,24,14,1.5,,2,1,0,32,5.0,The dryer brush for less breakage¹
eightsleep.com,product,light,#ffffff,#ffffff,,NeueMontreal,Bethany Elingston,,,,,,,22,15,1.3,75,7,1,,,17.7,
everlane.com,product,light,#ffffff,#000000,,Maison Neue Book,Maison Neue,31,400,1.29,0.041,3,left,,16,1.5,16,2,0,0,47,1.0,POWER OF SOFTNESS
fellowproducts.com,product,light,#ffffff,#ffffff,,Sohne,Fellow Solar,40,500,1.1,0,2,left,40,14,1.4,30,4,0,pill,40,7.9,"Espresso, evolved."
fujifilm-x.com,product,light,#ffffff,#ffffff,,Noto Sans JP,Fjalla One,30,400,3.73,0,2,left,30,,,16,0,0,0,42,4.1,FUJIFILM X-E5
glossier.com,product,light,#ffffff,#000000,,Apercu,Arial,32,500,1.09,0,4,left,,14,1.4,16,1,1,0,40,5.4,GLOSSIER YOU LOOK GOOD.
hay.com,product,light,#f2f2f2,#000000,,NeueHelvetica55Roman,Meta W05 Light,,,,,,,,,,100,0,0,0,46,1.3,
hermanmiller.com,product,light,#ffffff,#252525,#e22d00,Meta,,40,700,1.3,-0.013,3,center,,16,1.63,160,0,0,2,40,1.1,Designed for everybody
leica-camera.com,product,light,#ffffff,#222222,,Outfit,,76,400,1.12,0,2,left,54,18,1.56,,6,0,pill,40,16.1,Leica Camera
lelabofragrances.com,product,light,#f6f8f6,#424242,,Helvetica,Bell Gothic Std,30,700,1.3,0,2,left,,,,56,0,1,0,56,1.0,Le Labo
lucidmotors.com,product,dark,#0f0f0f,#7f7f7f,#d7be96,Lucid Sans VF,,72,400,1.11,-0.007,2,left,48,12,1.5,24,2,0,4,48,7.6,Lucid Gravity
molo.com,product,light,#fbfbfb,#181818,,simon,display,,,,,,,40,40,1,60,3,1,,,14.4,
nothing.tech,product,light,#f4f4f4,#000000,,Arial,NType82-Regular,32,100,1.1,0,2,center,24,15,1.6,445,6,0,8,40,8.1,UNITED STATES
on.com,product,light,#ffffff,#000000,,On,,50,700,1.1,-0.01,3,left,50,24,1.3,48,2,0,pill,48,8.1,"Dream On, Soccer"
ouraring.com,product,light,#ffffff,#f7f1e8,#2a72de,AkkuratLL,Editorial New,110,300,1.1,-0.05,2,center,40,24,1.25,64,1,1,pill,48,7.3,Subtle. Power.
play.date,product,light,#ffffff,null,,Roobert,,57,700,1.1,0,19,center,68,28,1.3,205,0,1,,,17.1,"It's a new, tiny handheld game system with a bunch of brand-new games. We made Playdate just for fun."
polestar.com,product,light,#ffffff,#000000,,Polestar Unica,,,,,,,,30,16,1.13,112,7,1,,,6.8,
rabbit.tech,product,dark,#000000,#ebe8e2,,__powerGroteskFont_859336,__archivoFont_931059,128,200,0.9,0,2,center,72,22,1.5,18,5,0,,,11.5,rabbit OS3
rivian.com,product,light,#ffffff,#ffffff,#ffaa00,Adventure,,,,,,,,72,16,1.25,96,29,1,pill,32,18.9,
sonos.com,product,light,#ffffff,#bfbfbf,,aktiv-grotesk,,96,500,1.2,0,6,center,64,21,1.3,107,3,1,pill,59,14.5,Love the sound. Feel the system.
usm.com,product,light,#fafafa,#000000,,Helvetica,,50,400,1,0,3,center,28,14,1.31,40,2,1,,,6.6,USM Soft Panel
vanmoof.com,product,light,#ffffff,#222222,,Unica77LLWeb,Unica77Mono,,,,,,,48,16,1.43,127,3,1,4,32,6.9,
adyen.com,fintech,light,#ffffff,#001222,#00d16a,Adyen,AdyenMono,32,484,1.18,0,5,center,32,16,1.34,24,3,1,6,48,13.6,Fintech you can bank on
betterment.com,fintech,light,#f5f5f5,#ffffff,#ffc729,GT America,,,,,,,,44,12,1.35,29,5,0,0,42,11.0,
brex.com,fintech,light,#ffffff,#b9bbc6,#ff3d00,inter,,72,500,1,-0.02,6,left,36,14,1.5,72,2,0,6,31,10.1,Finance built for speed and control.
capital.xyz,fintech,dark,#040503,#bfbcb7,#ed5145,__muoto_7e5c91,GT America Mono,,,,,,,90,,,144,1,1,pill,41,7.9,
cash.app,fintech,light,#ffffff,#000000,,Cash Sans,,56,400,0.95,-0.03,5,left,40,18,1.4,20,0,1,pill,46,1.6,The way money should work
checkout.com,fintech,dark,#000000,#000000,#186aff,Inter,Checkout Apercu SemiMono,,,,,,,32,16,1.5,80,3,1,6,45,14.6,
cloudpayments.ru,fintech,light,#ffffff,#000000,#2e71fc,cpTextBook,cpTextRegular,36,500,1.11,0,6,center,36,14,1.43,168,0,0,12,56,5.8,Сервисы для реализации бизнес-идей от Cloud
feyapp.com,fintech,light,#fafafa,#595959,,-apple-system,,,,,,,,,21,1.55,460,0,0,,,1.0,
imprint.co,fintech,light,#efefef,#000000,,UniversalSans-500 Regular,,32,400,1.2,-0.034,5,center,58,18,1.2,24,2,1,5,41,7.2,Perfectly configured co-branded financial products.
klarna.com,fintech,light,#ffffff,#0b051d,#ffa8cd,Klarna Text,,84,700,0.9,0,4,left,64,16,1.5,,0,1,pill,44,12.2,Get your money sorted
kraken.com,fintech,light,#f6f5f9,#686b82,#7132f5,Kraken-Product,Kraken-Brand,48,400,1.17,0,6,center,36,12,1.33,54,0,0,12,36,7.4,Own the power of your money
mercury.com,fintech,light,#ffffff,#ededf3,#5266eb,arcadia,arcadiaDisplay,49,480,1.1,0,3,center,28,12,1.4,208,5,1,pill,40,13.0,Radically different banking
monzo.com,fintech,light,#ffffff,#091723,#091723,MonzoSansText,MonzoSansDisplay,49,800,1.2,0,10,left,25,16,1.4,80,0,1,pill,51,15.4,"Spend your money on life, not your life on money"
n26.com,fintech,light,#ffffff,#1b1b1b,#003b39,N26,N26-Extended,80,400,1.1,0,5,center,58,16,1.5,80,1,0,pill,48,1.0,The first bank you'll love
paddle.com,fintech,light,#f9f8f7,#1c1a15,#e4e1d1,Inter,serrifCondensed,64,400,1,-0.01,2,center,40,20,1.5,96,0,0,0,54,7.1,Sell globally.
pipe.com,fintech,dark,#000000,#ffffff,#e2572c,__suisseFont_3f347b,,,,,,,,24,12,1.4,48,2,0,,,1.0,
prodamus.ru,fintech,light,#ffffff,#ffffff,,Onest,,46,600,1.11,0,6,left,36,,,90,17,0,pill,46,14.3,ИТ-сервис для автоматизации онлайн-бизнеса с кешбэком
public.com,fintech,light,#ffffff,#516880,,Inter,,80,300,1,0,7,left,24,12,1.5,32,0,1,pill,42,14.0,Investing for those who take it seriously
razorpay.com,fintech,light,#ffffff,#192839,#305eff,Inter,TASA Orbiter Display SemiBold,,,,,,,48,13,1.43,128,2,0,4,36,13.9,
robinhood.com,fintech,dark,#000000,#110e08,#ccff00,Phonic,,64,400,1,-0.016,6,left,40,16,,24,9,1,pill,44,10.4,HOOD Summit ‘26 Engines of Creation
slash.com,fintech,dark,#040406,#5e616e,,__Inter_f367f3,__ivyPresto_6eafe2,64,400,1.05,0.01,13,left,52,18,1.38,144,2,1,pill,32,13.4,"Slash the fees, the friction, the fine print Slash the friction fine print"
tempo.xyz,fintech,light,#f3f3f3,#4d4d4d,,Pilat,HB Set,,,,,,,32,16,1.6,60,1,1,0,39,10.5,
wealthfront.com,fintech,light,#ffffff,#b7b7c0,#4840bb,Calibre,,62,700,0.9,-0.03,5,left,32,12,1.33,48,2,0,6,48,8.9,Earn up to 4.45% APY
wise.com,fintech,light,#ffffff,#454745,#9fe870,Inter,,300,400,0.09,0,1,left,45,18,1.44,100,1,1,pill,32,12.5,giItT1WQy@!-/#
xapobank.com,fintech,dark,#090402,#c2c2c2,#c34813,HelveticaNowDisplay,,62,400,1.13,-0.02,15,center,23,16,1.33,58,5,1,pill,49,11.8,"A private bank for Bitcoin believers. Earn 4.6%* on USD Savings, paid daily in BTC."
yookassa.ru,fintech,light,#ffffff,#0a2540,#0a2540,Factor IO,,32,700,,0,3,center,24,18,1.33,120,0,0,8,36,8.0,ЮKassa — сервис
108.supply,gallery,dark,#0a0a0c,#eff1f0,,Season Sans,Gt Alpina Condensed,56,500,0.93,-0.036,75,left,40,,,8,0,1,,,5.6,A growing set of 48 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 
aave.com,gallery,light,#ffffff,null,,Aave Repro,,72,550,1.1,-0.05,4,center,24,16,1.45,251,0,0,pill,32,9.0,The World's Savings App
acctual.com,gallery,light,#f7fafc,#8d8d8d,,Open Runde,,64,600,1.13,-0.03,7,center,,16,1.5,208,2,0,pill,40,13.5,Small business invoices: Get paid on time
adaline.ai,gallery,light,#fbfdf6,#2e3b28,#203b14,akkurat,GT America Mono,53,400,1.21,-0.04,3,left,30,18,1.44,100,2,0,pill,32,14.4,Never stop learning
arc.tech,gallery,light,#ffffff,#53524b,#206d69,gt-america,Arial,64,300,1.1,-0.015,6,center,30,12,1.5,151,0,0,4,44,8.3,Intelligent cash management for technology companies
blueyard.com,gallery,light,#fff6f4,#090b11,,Instrument Sans,Geist Mono,48,400,1,-0.03,6,center,48,,,106,1,0,0,48,1.0,"Will it be Utopia, or Oblivion?"
buffer.com,gallery,dark,#000000,#213130,#b0ec9c,Figtree,Stolzl,76,400,1.1,-0.02,4,center,24,18,1.4,63,0,0,,,8.8,Your social media workspace
busy.bar,gallery,light,#ffffff,#000000,#ea5212,Pragmatica Next Vf,,54,700,1,-0.03,2,center,54,13,1.5,83,9,1,5,54,19.9,Productivity multi-tool
causal.app,gallery,light,#ffffff,#002a42,#002a42,Lucanet Light,Lucanet Regular,60,300,1.2,0,12,left,38,18,1.4,118,0,0,0,60,13.8,Make smarter planning and faster decisions with Extended Planning and Analysis (xP&A)
checkr.com,gallery,light,#ffffff,#d8dee5,,National 2,National 2 Narrow,50,500,1.15,-0.02,18,center,30,18,1.3,108,0,0,6,34,5.0,Verify candidates with confidence Verify candidates borrowers tenants drivers caregivers contractors credentials your pr
clay.run,gallery,light,#ffffff,#000000,#f4f3f0,Roobertvf,,88,575,1,-0.04,5,left,48,12,1.3,128,3,1,12,39,11.4,Build systems to grow revenue
conductor.build,gallery,light,#ffffff,#756f6c,,ui-sans-serif,ui-monospace,36,600,1.11,-0.025,6,center,24,16,1.5,139,1,0,6,32,7.4,Run a team of coding agents
