photo-001.jpg — автор не указан, rawpixel, CC0 — https://www.rawpixel.com/image/6042546/photo-image-public-domain-nature-ice
photo-003.jpg — Alec Moore, stocksnap, CC0 — https://stocksnap.io/photo/crosscountry-skiing-KY1D706OSN
photo-007.jpg — Bob Richards, stocksnap, CC0 — https://stocksnap.io/photo/ice-texture-56F8CG0STB
photo-009.jpg — Free Nature Stock, stocksnap, CC0 — https://stocksnap.io/photo/ice-lake-CPEWLJSB3C
photo-013.jpg — Bob Richards, stocksnap, CC0 — https://stocksnap.io/photo/ice-texture-I4J8AXCSJQ
photo-017.jpg — автор не указан, rawpixel, CC0 — https://www.rawpixel.com/image/3291297/free-photo-image-abies-austria-building
photo-035.jpg — автор не указан, rawpixel, CC0 — https://www.rawpixel.com/image/3305489/free-photo-image-cc0-cold-creative-commons
photo-043.jpg — Ryan Pohanic, stocksnap, CC0 — https://stocksnap.io/photo/winter-forest-2C1MRCDUXL
photo-005.jpg — Jessica Lewis, stocksnap, CC0 — https://stocksnap.io/photo/snow-bench-KROEOZYPVN
photo-002.jpg — Roy Tanck, wordpress, CC0 — https://wordpress.org/photos/photo/897639db28/
photo-012.jpg — Timi Wahalahti, wordpress, CC0 — https://wordpress.org/photos/photo/98162d4532/
photo-icicles.jpg — Michelle Frechette, wordpress, CC0 — https://wordpress.org/photos/photo/153642a46e/
photo-022.jpg — Sakin Shrestha, wordpress, CC0 — https://wordpress.org/photos/photo/31269710d5/
photo-018.jpg — Sakin Shrestha, wordpress, CC0 — https://wordpress.org/photos/photo/2056a1dafa/
photo-016.jpg — Bikash Pun, wordpress, CC0 — https://wordpress.org/photos/photo/114691947a/
